name,url,description,size,stars,watchers,language,forks,commits,authors,lines_of_code,lines_of_comments,lines_blank
eclipse_leshan,https://github.com/eclipse/leshan,Eclipse Leshan is an OMA Lightweight M2M (LWM2M) implementation in Java.,4538,339,339,Java,247,1720,82,-1,-1,-1
konsoletyper_teavm,https://github.com/konsoletyper/teavm,Compiler of Java bytecode to JavaScript,42607,1199,1199,Java,140,2559,57,-1,-1,-1
pentaho_mondrian,https://github.com/pentaho/mondrian,Mondrian is an Online Analytical Processing (OLAP) server that enables business users to analyze large quantities of data in real-time.,312754,780,780,Java,605,7387,262,-1,-1,-1
ThreeTen_threeten-extra,https://github.com/ThreeTen/threeten-extra,Provides additional date-time classes that complement those in JDK 8,1508,218,218,Java,54,980,47,-1,-1,-1
react-native-kit_react-native-track-player,https://github.com/react-native-kit/react-native-track-player,"A fully fledged audio module created for music apps. Provides audio playback, external media controls, chromecast support, background mode and more!",3666,811,811,Java,229,893,83,-1,-1,-1
apache_camel,https://github.com/apache/camel,Apache Camel,282025,2732,2732,Java,3559,60887,1288,-1,-1,-1
aseldawy_spatialhadoop2,https://github.com/aseldawy/spatialhadoop2,The second generation of SpatialHadoop that ships as an extension,23346,126,126,Java,93,1781,37,-1,-1,-1
apache_sqoop,https://github.com/apache/sqoop,Mirror of Apache Sqoop,18720,602,602,Java,429,3111,120,-1,-1,-1
zmxv_react-native-sound,https://github.com/zmxv/react-native-sound,React Native module for playing sound clips,278,1858,1858,Java,522,581,173,-1,-1,-1
trol73_mucommander,https://github.com/trol73/mucommander,trolCommander - fork of muCommander file manager,118140,169,169,Java,37,741,28,-1,-1,-1
jeddict_jeddict,https://github.com/jeddict/jeddict,Java EE 8 (Jakarta EE) & MicroProfile 2.0 application generator and modeler,55707,316,316,Java,36,861,10,-1,-1,-1
SleepyTrousers_EnderIO,https://github.com/SleepyTrousers/EnderIO,,65599,528,528,Java,268,8654,231,-1,-1,-1
crawler-commons_crawler-commons,https://github.com/crawler-commons/crawler-commons,A set of reusable Java components that implement functionality common to any web crawler,2885,135,135,Java,58,644,30,-1,-1,-1
hibernate_hibernate-tools,https://github.com/hibernate/hibernate-tools,"Code generation, reverse engineering, ant task and more tools for Hibernate Core",39863,207,207,Java,190,2726,48,-1,-1,-1
MrCrayfish_MrCrayfishFurnitureMod,https://github.com/MrCrayfish/MrCrayfishFurnitureMod,A Furniture Mod for Minecraft. Download ▶,11822,133,133,Java,94,1008,62,-1,-1,-1
