name,url,description,size,stars,watchers,language,forks,commits,authors,lines_of_code,lines_of_comments,lines_blank
gatzka_android-scan,https://github.com/gatzka/android-scan,,8846,0,0,Java,0,682,2,-1,-1,-1
usgs_nshmp-haz-ws,https://github.com/usgs/nshmp-haz-ws,National Seismic Hazard Mapping Project (NSHMP) Web Service Code,4904,4,4,JavaScript,7,967,7,-1,-1,-1
TakaoNishidaBBT_B-studio,https://github.com/TakaoNishidaBBT/B-studio,Contents Management System,58796,3,3,JavaScript,2,1642,6,-1,-1,-1
atom_superstring,https://github.com/atom/superstring,Native core components for Atom,2014,108,108,JavaScript,29,1056,13,-1,-1,-1
MIPS_packages-services-Telecomm,https://github.com/MIPS/packages-services-Telecomm,,9448,0,0,Java,0,6660,137,-1,-1,-1
Tencent_TSW,https://github.com/Tencent/TSW,Tencent Server Web,1935,1503,1503,JavaScript,146,761,46,-1,-1,-1
xiexin01_xiexin,https://github.com/xiexin01/xiexin,,12853,0,0,JavaScript,0,537,8,-1,-1,-1
jaya0245_JSOUP,https://github.com/jaya0245/JSOUP,,1574,0,0,Java,0,1636,89,-1,-1,-1
praspadm_marbles-20180825032754298,https://github.com/praspadm/marbles-20180825032754298,Created for toolchain: https://console.ng.bluemix.net/devops/toolchains/d6cc797a-6e71-4fbe-95f9-82820e8cf147?env_id=ibm%3Ayp%3Aus-south,44004,0,0,JavaScript,0,1180,40,-1,-1,-1
drdn_2018-11-09-umd,https://github.com/drdn/2018-11-09-umd,Test Workshop Page,2964,0,0,Python,0,1334,144,-1,-1,-1
Swydo_ddp-apollo,https://github.com/Swydo/ddp-apollo,DDP link for Apollo with GraphQL Subscriptions support,263,127,127,JavaScript,8,797,7,-1,-1,-1
SolarNetwork_solarnetwork-node,https://github.com/SolarNetwork/solarnetwork-node,Distributed SolarNode components for collecting data.,44140,3,3,Java,11,2650,8,-1,-1,-1
fedora-infra_pdc-updater,https://github.com/fedora-infra/pdc-updater,Update the product-definition-center from fedmsg,49597,3,3,Python,11,605,17,-1,-1,-1
candlepin_subscription-manager,https://github.com/candlepin/subscription-manager,A GUI and CLI client for Candlepin,46613,32,32,Python,76,12429,152,-1,-1,-1
Kappa-Dev_Kappa-Dev.github.io,https://github.com/Kappa-Dev/Kappa-Dev.github.io,Kappa Crew technical website,425607,1,1,JavaScript,0,4660,6,-1,-1,-1
cea-sec_ivre,https://github.com/cea-sec/ivre,Network recon framework.,15268,1535,1535,Python,420,2329,50,-1,-1,-1
fuhuilin_douban,https://github.com/fuhuilin/douban,,1975,0,0,Python,0,1465,44,-1,-1,-1
qwazr_search,https://github.com/qwazr/search,Apache Lucene Microservice,4605,5,5,Java,7,957,4,-1,-1,-1
gridgentoo_realtime-olap,https://github.com/gridgentoo/realtime-olap,Архитектура Realtime OLAP datastore,163779,0,0,Java,0,6195,124,-1,-1,-1
DiabeticTurtle_NightScoutReskin,https://github.com/DiabeticTurtle/NightScoutReskin,Nightscout Reskin,10042,0,0,JavaScript,0,5297,169,-1,-1,-1
Denzeldeveloper_haven,https://github.com/Denzeldeveloper/haven,,23773,0,0,Java,0,851,52,-1,-1,-1
ksamuk_2016-12-01-miskatonic,https://github.com/ksamuk/2016-12-01-miskatonic,,3100,0,0,Python,0,1501,161,-1,-1,-1
public-transport_hafas-client,https://github.com/public-transport/hafas-client,JavaScript client for HAFAS public transport APIs.,1384,66,66,JavaScript,17,1163,16,-1,-1,-1
eclipseguru_eclipse.jdt.core,https://github.com/eclipseguru/eclipse.jdt.core,Fork of Eclipse JDT Core,101000,0,0,Java,0,23657,154,-1,-1,-1
yegor256_rultor,https://github.com/yegor256/rultor,DevOps Team Assistant,92546,384,384,Java,116,5979,93,-1,-1,-1
spring-cloud_spring-cloud-deployer-cloudfoundry,https://github.com/spring-cloud/spring-cloud-deployer-cloudfoundry,The Spring Cloud Deployer implementation for Cloud Foundry,38477,17,17,Java,28,567,26,-1,-1,-1
farin_JCloisterZone,https://github.com/farin/JCloisterZone,Java implementation of Carcassonne board game,110894,205,205,Java,86,1378,53,-1,-1,-1
floragunncom_search-guard-authbackend-jwt,https://github.com/floragunncom/search-guard-authbackend-jwt,[OUTDATED] Provide JWT (JSON Web Token) authentication for Search Guard,2412,6,6,Java,2,1506,16,-1,-1,-1
kucrut_minnie,https://github.com/kucrut/minnie,React-based WordPress Client,1418,15,15,JavaScript,0,1007,2,-1,-1,-1
renzon_antigonovo,https://github.com/renzon/antigonovo,Exemplo de webiste em Django,848,1,1,JavaScript,3,808,10,-1,-1,-1
deiga_Carpenter,https://github.com/deiga/Carpenter,NodeJS project to list shared steam games among people ,15232,0,0,JavaScript,0,592,14,-1,-1,-1
tessel_t2-cli,https://github.com/tessel/t2-cli,Tessel 2 Command Line Interface,2247,109,109,JavaScript,54,1945,70,-1,-1,-1
k-kbox_cordova-plugin-jpush,https://github.com/k-kbox/cordova-plugin-jpush,,51177,0,0,JavaScript,0,641,30,-1,-1,-1
whiskeysierra_compass,https://github.com/whiskeysierra/compass,Config Management Service,1891,1,1,Java,1,742,7,-1,-1,-1
spotify_reactochart,https://github.com/spotify/reactochart,:chart_with_upwards_trend: React chart component library :chart_with_downwards_trend: - https://spotify.github.io/reactochart/docs/,59946,114,114,JavaScript,30,831,37,-1,-1,-1
ahhqlrg_kayuan,https://github.com/ahhqlrg/kayuan,程序员卡猿杯,30600,0,0,JavaScript,0,3352,112,-1,-1,-1
