name,url,description,size,stars,watchers,language,forks,commits,authors,lines_of_code,lines_of_comments,lines_blank
tensorflow_federated,https://github.com/tensorflow/federated,A framework for implementing federated learning,4042,537,537,Python,94,853,40,-1,-1,-1
stanfordnlp_cocoa,https://github.com/stanfordnlp/cocoa,Framework for learning dialogue agents in a two-player game setting.,12191,110,110,Python,48,2053,19,-1,-1,-1
eskerda_pybikes,https://github.com/eskerda/pybikes,bike sharing + python = pybikes,1310,375,375,Python,128,1063,105,-1,-1,-1
mukulhase_WebWhatsapp-Wrapper,https://github.com/mukulhase/WebWhatsapp-Wrapper,An API for sending and receiving messages over web.whatsapp [Working as of 18th May 2018],1439,925,925,Python,441,724,96,-1,-1,-1
StanfordVL_robosuite,https://github.com/StanfordVL/robosuite,Surreal Robotics Suite: standardized and accessible robot manipulation benchmark in physics simulation,154033,129,129,Python,34,604,19,-1,-1,-1
adithyakhamithkar_ansible-playbooks,https://github.com/adithyakhamithkar/ansible-playbooks,"Ansible playbook collection that have been written for Ubuntu. Some of the playbooks are Elasticsearch, Mesos, AWS, MySql, Sensu, Nginx etc.. ",322068,297,297,Python,198,724,6,-1,-1,-1
OpenZWave_python-openzwave,https://github.com/OpenZWave/python-openzwave,Python wrapper for openzwave,53104,165,165,Python,119,1838,57,-1,-1,-1
lmfit_lmfit-py,https://github.com/lmfit/lmfit-py,"Non-Linear Least Squares Minimization, with flexible Parameter settings, based on scipy.optimize.leastsq, and with many additional classes and methods for curve fitting ",13495,403,403,Python,131,2319,68,-1,-1,-1
chrisdev_wagtail-cookiecutter-foundation,https://github.com/chrisdev/wagtail-cookiecutter-foundation,A Cookiecutter template for Wagtail CMS using Zurb Foundation 6,21376,141,141,Python,38,2286,22,-1,-1,-1
django-crispy-forms_django-crispy-forms,https://github.com/django-crispy-forms/django-crispy-forms,The best way to have DRY Django forms. The app provides a tag and filter that lets you quickly render forms in a div format while providing an enormous amount of capability to configure and control the rendered HTML.,2032,3575,3575,Python,619,2022,353,-1,-1,-1
baohaojun_system-config,https://github.com/baohaojun/system-config,My customizations of Posix systems (Linux/Cygwin/Darwin).,716585,197,197,Python,74,19665,263,-1,-1,-1
oauthlib_oauthlib,https://github.com/oauthlib/oauthlib,"A generic, spec-compliant, thorough implementation of the OAuth request-signing logic",2178,1814,1814,Python,378,2058,245,-1,-1,-1
repology_repology,https://github.com/repology/repology,Compare package versions in many repositories,5307,277,277,Python,63,5204,70,-1,-1,-1
inasafe_inasafe,https://github.com/inasafe/inasafe,InaSAFE - QGIS plugin for estimating impact from natural disasters,247490,149,149,Python,122,20798,95,-1,-1,-1
cyverse_atmosphere,https://github.com/cyverse/atmosphere,Where cloud lives.,181508,227,227,Python,95,8617,58,-1,-1,-1
ncclient_ncclient,https://github.com/ncclient/ncclient,Python library for NETCONF clients,3037,351,351,Python,267,1011,144,-1,-1,-1
afewmail_afew,https://github.com/afewmail/afew,an initial tagging script for notmuch mail,375,224,224,Python,77,581,82,-1,-1,-1
home-assistant_appdaemon,https://github.com/home-assistant/appdaemon,:page_facing_up: Python Apps for Home Automation,11476,351,351,Python,244,2267,124,-1,-1,-1
openstack_python-keystoneclient,https://github.com/openstack/python-keystoneclient,OpenStack Identity (Keystone) Client,12083,194,194,Python,224,9566,455,-1,-1,-1
googleapis_google-api-python-client,https://github.com/googleapis/google-api-python-client,🐍 The official Python client library for Google's discovery based APIs.,35694,2738,2738,Python,1275,1441,224,-1,-1,-1
suavecode_SUAVE,https://github.com/suavecode/SUAVE,An Aircraft Design Toolbox,203439,110,110,Python,103,4641,94,-1,-1,-1
pubnub_python,https://github.com/pubnub/python,"PubNub Python-based APIs for core Python, Twisted, and Tornado",2665,118,118,Python,105,1148,62,-1,-1,-1
amdegroot_ssd.pytorch,https://github.com/amdegroot/ssd.pytorch,A PyTorch Implementation of Single Shot MultiBox Detector,108865,2495,2495,Python,929,545,46,-1,-1,-1
lingthio_Flask-User,https://github.com/lingthio/Flask-User,"Customizable User Authorization & User Management: Register, Confirm, Login, Change username/password, Forgot password and more.",2849,780,780,Python,207,773,89,-1,-1,-1
d2l-ai_d2l-en,https://github.com/d2l-ai/d2l-en,"Dive into Deep Learning: an interactive deep learning book with code, math, and discussions",142283,2117,2117,Python,588,1798,114,-1,-1,-1
LockGit_Hacking,https://github.com/LockGit/Hacking,hacking is a kind of spirit !,60502,334,334,Python,125,1766,3,-1,-1,-1
networktocode_ntc-ansible,https://github.com/networktocode/ntc-ansible,Multi-vendor network modules,420,210,210,Python,80,685,53,-1,-1,-1
fxsjy_jieba,https://github.com/fxsjy/jieba,结巴中文分词,44251,19300,19300,Python,5012,687,117,-1,-1,-1
XanaduAI_pennylane,https://github.com/XanaduAI/pennylane,"PennyLane is a cross-platform Python library for quantum machine learning, automatic differentiation, and optimization of hybrid quantum-classical computations",17226,261,261,Python,66,2235,16,-1,-1,-1
LazoCoder_Pokemon-Terminal,https://github.com/LazoCoder/Pokemon-Terminal,Pokemon terminal themes.,69291,3250,3250,Python,160,540,40,-1,-1,-1
hyperledger_indy-node,https://github.com/hyperledger/indy-node,The server portion of a distributed ledger purpose-built for decentralized identity.,19322,387,387,Python,359,6602,134,-1,-1,-1
sao-eht_eat,https://github.com/sao-eht/eat,EHT Analysis Toolkit,1257,111,111,Python,18,879,20,-1,-1,-1
jisaacks_GitGutter,https://github.com/jisaacks/GitGutter,A Sublime Text 2/3 plugin to see git diff in gutter,1919,3859,3859,Python,237,967,154,-1,-1,-1
kubernetes-client_python,https://github.com/kubernetes-client/python,Official Python client library for kubernetes,12246,1748,1748,Python,1079,1001,132,-1,-1,-1
ulfalizer_Kconfiglib,https://github.com/ulfalizer/Kconfiglib,A flexible Python 2/3 Kconfig implementation and library,6707,131,131,Python,61,1677,24,-1,-1,-1
jazzband_django-constance,https://github.com/jazzband/django-constance,Dynamic Django settings.,669,1027,1027,Python,228,766,165,-1,-1,-1
